room_type,neighbourhood_cleansed,latitude,longitude,price,last_review
Private room,Bayview,37.7279,-122.38905,69.0,2023-05-21
Private room,Bayview,37.7279,-122.38905,61.0,2023-05-21
Entire home/apt,Mission,37.75203,-122.41338,99.0,2023-05-19
Private room,Excelsior,37.72516,-122.42042,50.0,2023-05-19
Entire home/apt,Marina,37.80489,-122.43746,325.0,2023-05-15
Entire home/apt,Excelsior,37.72599,-122.41867,89.0,2023-01-23
Entire home/apt,Bernal Heights,37.74154,-122.4086,275.0,2023-01-31
Private room,Excelsior,37.72605,-122.4185,55.0,2023-01-28
Private room,Downtown/Civic Center,37.78564,-122.40846,63.0,2023-05-15
Private room,Castro/Upper Market,37.76685,-122.43323,107.0,2023-05-28
Entire home/apt,Potrero Hill,37.75673,-122.40261,350.0,2023-05-29
Entire home/apt,Downtown/Civic Center,37.78095,-122.42155,125.0,2023-02-28
Entire home/apt,North Beach,37.80246,-122.40379,232.0,2023-05-15
Entire home/apt,Outer Sunset,37.76258,-122.50215,112.0,2023-06-04
Private room,Downtown/Civic Center,37.78748,-122.40963,63.0,2023-04-22
Private room,Downtown/Civic Center,37.78754,-122.40781,70.0,2023-03-18
Entire home/apt,Haight Ashbury,37.77282,-122.43798,170.0,2023-05-30
Entire home/apt,Noe Valley,37.74744,-122.43685,375.0,2023-05-03
Entire home/apt,Outer Richmond,37.77773,-122.49431,199.0,2023-03-31
Private room,Excelsior,37.726,-122.41857,46.0,2023-01-28
Entire home/apt,Bernal Heights,37.73711,-122.42345,135.0,2023-04-14
Entire home/apt,Castro/Upper Market,37.76421,-122.43397,300.0,2023-05-21
Entire home/apt,Outer Sunset,37.76234,-122.49349,200.0,2023-05-14
Private room,Downtown/Civic Center,37.78685,-122.4097,69.0,2023-05-16
Private room,Downtown/Civic Center,37.78536,-122.40767,69.0,2023-05-10
Entire home/apt,Mission,37.75894,-122.41187,350.0,2023-05-25
Entire home/apt,Ocean View,37.71852,-122.4563,165.0,2023-05-27
Entire home/apt,West of Twin Peaks,37.73616,-122.45413,75.0,2023-05-09
Entire home/apt,Twin Peaks,37.74952,-122.44851,328.0,2023-05-07
Entire home/apt,Bernal Heights,37.74486,-122.41814,137.0,2023-05-29
Entire home/apt,Inner Sunset,37.76094,-122.46439,190.0,2023-05-19
Private room,West of Twin Peaks,37.7284,-122.45757,45.0,2023-05-17
Private room,West of Twin Peaks,37.7284,-122.45757,43.0,2023-05-13
Private room,South of Market,37.77711,-122.41515,156.0,2023-06-03
Entire home/apt,Outer Mission,37.72912,-122.44475,107.0,2023-05-21
Private room,Bayview,37.73516,-122.38819,71.0,2023-01-25
Entire home/apt,Potrero Hill,37.75738,-122.38933,600.0,2023-05-23
Entire home/apt,West of Twin Peaks,37.74303,-122.469,152.0,2023-05-25
Private room,Mission,37.7603,-122.42197,131.0,2023-05-22
Private room,Bayview,37.7175,-122.39698,95.0,2023-01-28
Private room,Castro/Upper Market,37.76237,-122.42992,99.0,2023-05-09
Private room,Western Addition,37.77247,-122.43301,131.0,2023-05-28
Entire home/apt,Pacific Heights,37.78897,-122.43376,190.0,2023-05-14
Entire home/apt,Outer Richmond,37.77885,-122.50534,175.0,2023-05-17
Entire home/apt,Potrero Hill,37.76451,-122.39643,290.0,2023-05-25
Entire home/apt,Inner Sunset,37.75893,-122.46496,147.0,2023-05-18
Entire home/apt,Bernal Heights,37.741,-122.42018,110.0,2023-01-28
Entire home/apt,Castro/Upper Market,37.76123,-122.43326,140.0,2023-04-09
Private room,Bernal Heights,37.74132,-122.41818,115.0,2023-01-06
Entire home/apt,Downtown/Civic Center,37.78887,-122.41306,165.0,2023-03-27
Entire home/apt,Mission,37.75158,-122.41158,99.0,2023-03-04
Private room,Pacific Heights,37.79183,-122.42425,60.0,2023-05-14
Entire home/apt,Bernal Heights,37.74684,-122.41548,178.0,2023-05-03
Private room,Noe Valley,37.7422,-122.42996,150.0,2023-04-29
Entire home/apt,Western Addition,37.7702,-122.42913,400.0,2023-05-30
Shared room,Financial District,37.7937,-122.40417,42.0,2023-04-18
Shared room,Financial District,37.7937,-122.40417,45.0,2023-05-14
Entire home/apt,Glen Park,37.73711,-122.43525,130.0,2023-05-28
Entire home/apt,Western Addition,37.78408,-122.44436,83.0,2023-01-02
Private room,Pacific Heights,37.79427,-122.43178,249.0,2023-04-30
Entire home/apt,Excelsior,37.72733,-122.42932,121.0,2023-05-29
Entire home/apt,Mission,37.76945,-122.42456,277.0,2023-02-23
Entire home/apt,Downtown/Civic Center,37.78693,-122.41539,113.0,2023-05-08
Entire home/apt,West of Twin Peaks,37.73241,-122.46432,130.0,2023-05-13
Private room,Castro/Upper Market,37.75939,-122.43051,116.0,2023-05-28
Entire home/apt,North Beach,37.80599,-122.40943,135.0,2023-03-31
Entire home/apt,South of Market,37.77341,-122.4208,80.0,2023-03-18
Entire home/apt,Inner Sunset,37.76317,-122.47029,580.0,2023-05-21
Private room,Bernal Heights,37.73987,-122.4234,100.0,2023-05-21
Entire home/apt,Inner Richmond,37.77664,-122.45586,140.0,2023-05-20
Entire home/apt,Outer Richmond,37.7844,-122.47932,491.0,2023-04-24
Private room,Pacific Heights,37.79233,-122.42431,57.0,2023-02-28
Entire home/apt,Haight Ashbury,37.76216,-122.45022,193.0,2023-05-14
Entire home/apt,Mission,37.75981,-122.4188,158.0,2023-05-10
Entire home/apt,Haight Ashbury,37.76973,-122.44695,150.0,2023-04-17
